,winloss,championPlayed,kills,deaths,assists
410,1,412,6,8,32
411,1,222,14,7,15
412,1,85,10,12,17
413,1,104,10,11,14
414,1,238,9,4,13
415,0,777,4,11,12
416,0,80,11,14,9
417,0,62,11,9,2
418,0,876,4,8,14
419,0,110,12,8,8
420,1,81,2,1,1
421,1,421,4,1,4
422,1,114,4,0,2
423,1,350,0,3,3
424,1,4,2,1,5
425,0,16,0,2,3
426,0,60,1,2,2
427,0,126,0,3,1
428,0,51,2,1,1
429,0,517,3,4,0
430,0,141,4,11,6
431,0,51,7,2,8
432,0,25,3,5,9
433,0,112,4,4,7
434,0,8,3,8,3
435,1,43,0,5,18
436,1,3,2,6,11
437,1,41,7,4,13
438,1,76,12,5,11
439,1,202,9,1,6
440,0,41,5,5,8
441,0,104,4,6,16
442,0,245,9,6,6
443,0,523,12,13,9
444,0,412,1,8,19
445,1,81,14,7,12
446,1,92,10,4,8
447,1,37,0,7,25
448,1,55,10,6,12
449,1,2,4,7,7
450,0,518,1,0,1
451,0,17,0,6,2
452,0,202,1,1,1
453,0,112,1,2,0
454,0,120,2,2,1
455,1,74,0,0,1
456,1,126,4,2,4
457,1,55,1,1,3
458,1,526,2,1,4
459,1,2,4,1,4
460,0,412,1,12,15
461,0,92,7,5,10
462,0,246,8,9,2
463,0,498,2,9,10
464,0,60,9,5,14
465,1,77,0,5,24
466,1,134,4,5,8
467,1,360,26,5,7
468,1,39,8,5,7
469,1,89,2,7,22
470,0,89,1,8,7
471,0,3,2,10,5
472,0,145,5,7,4
473,0,141,4,9,6
474,0,54,3,6,4
475,1,2,14,4,5
476,1,266,11,1,15
477,1,235,0,4,12
478,1,432,1,2,20
479,1,517,13,4,6
480,0,350,2,2,14
481,0,64,6,4,8
482,0,54,2,5,8
483,0,43,3,3,6
484,0,29,4,4,4
485,1,104,6,3,7
486,1,222,4,4,9
487,1,112,3,2,9
488,1,117,2,3,9
489,1,126,3,5,6
490,0,20,4,7,19
491,0,92,12,8,8
492,0,25,2,10,18
493,0,51,5,9,12
494,0,112,11,6,12
495,1,145,15,6,11
496,1,421,16,4,6
497,1,68,1,9,18
498,1,526,2,8,21
499,1,80,6,8,6
500,0,18,2,5,3
501,0,4,3,7,5
502,0,526,0,5,7
503,0,77,2,7,7
504,0,39,6,6,2
505,1,254,8,2,9
506,1,69,6,4,6
507,1,222,6,2,9
508,1,58,6,4,8
509,1,432,4,1,23
510,0,777,1,5,1
511,0,6,3,5,1
512,0,28,1,4,9
513,0,429,8,5,3
514,0,3,1,6,7
515,1,43,3,5,12
516,1,150,4,2,8
517,1,147,5,3,14
518,1,234,7,3,5
519,1,112,6,1,9
520,0,35,2,9,9
521,0,106,4,5,5
522,0,81,4,9,1
523,0,876,5,6,8
524,0,236,8,4,4
525,1,150,2,7,3
526,1,43,5,4,14
527,1,429,16,3,8
528,1,107,4,5,2
529,1,111,6,4,15
530,1,777,7,1,6
531,1,412,0,2,6
532,1,164,2,8,9
533,1,222,7,0,2
534,1,59,5,5,14
535,0,4,4,4,4
536,0,67,5,9,3
537,0,89,0,2,11
538,0,76,3,3,4
539,0,145,4,3,5
540,0,145,1,3,0
541,0,76,2,4,1
542,0,89,0,2,1
543,0,58,1,6,2
544,0,134,2,4,2
545,1,67,3,4,5
546,1,18,4,0,2
547,1,526,0,1,5
548,1,68,6,0,7
549,1,104,6,2,9
550,0,202,1,5,4
551,0,412,2,8,4
552,0,131,8,6,2
553,0,58,4,9,6
554,0,11,3,5,3
555,1,876,9,2,8
556,1,18,10,2,8
557,1,523,9,5,7
558,1,43,2,5,16
559,1,111,2,4,18
560,0,12,0,9,8
561,0,38,3,4,2
562,0,147,2,6,5
563,0,141,5,5,4
564,0,58,6,6,3
565,1,145,7,2,12
