,winloss,championPlayed,kills,deaths,assists,goldEarned,inhibitorKills,turretKills,visionScore,csDiffPerMin,xpDiffPerMin,duration
5888,1,236,2,4,3,9736,1,2,28,"{'10-20': 0.6000000000000001, '0-10': 1.6}","{'10-20': -44.5, '0-10': -67.30000000000001}",1474
5889,1,12,1,2,15,7661,0,0,59,"{'10-20': 0.19999999999999973, '0-10': 0.9500000000000002}","{'10-20': -31.099999999999994, '0-10': 60.3}",1474
5890,1,36,9,4,10,11698,0,0,13,"{'10-20': -1.5, '0-10': -0.19999999999999998}","{'10-20': -206.30000000000004, '0-10': 111.10000000000002}",1647
5891,1,432,3,2,16,8648,1,3,72,"{'10-20': -0.40000000000000036, '0-10': 0.35000000000000053}","{'10-20': -74.75, '0-10': 50.349999999999994}",1647
5892,1,202,7,3,10,12720,1,1,26,"{'10-20': -0.40000000000000036, '0-10': 0.35000000000000053}","{'10-20': -74.75, '0-10': 50.349999999999994}",1647
5893,1,82,5,4,9,12566,0,4,27,{'0-10': 0},{'0-10': 0},1647
5894,1,34,13,5,12,15561,0,2,28,{'0-10': 0},{'0-10': 0},1647
5895,0,62,3,9,5,8679,0,0,14,{'0-10': 0},{'0-10': 0},1647
5896,0,33,3,7,9,9719,0,0,15,"{'10-20': 1.5, '0-10': 0.19999999999999998}","{'10-20': 206.30000000000004, '0-10': -111.10000000000002}",1647
5897,0,112,4,11,3,9986,0,1,9,{'0-10': 0},{'0-10': 0},1647
5898,0,497,0,6,12,5984,0,0,89,"{'10-20': 0.40000000000000036, '0-10': -0.35000000000000053}","{'10-20': 74.75, '0-10': -50.349999999999994}",1647
5899,0,145,7,5,5,11225,0,0,13,"{'10-20': 0.40000000000000036, '0-10': -0.35000000000000053}","{'10-20': 74.75, '0-10': -50.349999999999994}",1647
5900,1,3,6,5,14,12732,1,2,67,{'0-10': 0},{'0-10': 0},2140
5901,1,33,2,6,15,13993,0,1,29,"{'10-20': 0.7, '0-10': 0.7, '30-end': 0.6, '20-30': 1.8000000000000003}","{'10-20': 55.900000000000006, '0-10': 15.799999999999983, '30-end': 424.4, '20-30': 187.1}",2140
5902,1,53,2,7,14,9617,0,1,96,"{'10-20': 0.7000000000000002, '0-10': 0.6500000000000004, '30-end': 1.1000000000000005, '20-30': -2.220446049250313e-16}","{'10-20': 3.099999999999966, '0-10': -40.75, '30-end': 369.6, '20-30': -23.850000000000023}",2140
5903,1,145,10,7,10,16739,0,3,33,"{'10-20': 0.7000000000000002, '0-10': 0.6500000000000004, '30-end': 1.1000000000000005, '20-30': -2.220446049250313e-16}","{'10-20': 3.099999999999966, '0-10': -40.75, '30-end': 369.6, '20-30': -23.850000000000023}",2140
5904,1,92,14,6,5,18898,0,3,33,{'0-10': 0},{'0-10': 0},2140
5905,0,48,3,9,19,11537,0,1,41,"{'10-20': -0.7, '0-10': -0.7, '30-end': -0.6, '20-30': -1.8000000000000003}","{'10-20': -55.900000000000006, '0-10': -15.799999999999983, '30-end': -424.4, '20-30': -187.1}",2140
5906,0,69,1,9,4,12743,0,1,50,{'0-10': 0},{'0-10': 0},2140
5907,0,25,3,9,18,9698,0,1,111,"{'10-20': -0.7000000000000002, '0-10': -0.6500000000000004, '30-end': -1.1000000000000005, '20-30': 2.220446049250313e-16}","{'10-20': -3.099999999999966, '0-10': 40.75, '30-end': -369.6, '20-30': 23.850000000000023}",2140
5908,0,7,11,2,7,15095,0,0,40,{'0-10': 0},{'0-10': 0},2140
